X,CH1,CH2
Second,Volt,Volt
-6.5519998e-04,6.00000e-01,4.00000e-02
-6.5499998e-04,6.00000e-01,4.00000e-02
-6.5479998e-04,6.00000e-01,4.00000e-02
-6.5459998e-04,6.00000e-01,4.00000e-02
-6.5439998e-04,6.00000e-01,4.00000e-02
-6.5419998e-04,6.00000e-01,4.00000e-02
-6.5399997e-04,6.00000e-01,4.00000e-02
-6.5379997e-04,6.00000e-01,4.00000e-02
-6.5359997e-04,6.00000e-01,4.00000e-02
-6.5339997e-04,6.00000e-01,4.00000e-02
-6.5319997e-04,6.00000e-01,4.00000e-02
-6.5299997e-04,6.00000e-01,4.00000e-02
-6.5279996e-04,6.00000e-01,4.00000e-02
-6.5259996e-04,6.00000e-01,4.00000e-02
-6.5239996e-04,6.00000e-01,4.00000e-02
-6.5219996e-04,6.00000e-01,4.00000e-02
-6.5199996e-04,2.00000e-01,0.00000e+00
-6.5179996e-04,6.00000e-01,4.00000e-02
-6.5159996e-04,2.00000e-01,0.00000e+00
-6.5139995e-04,6.00000e-01,4.00000e-02
-6.5120001e-04,2.00000e-01,0.00000e+00
-6.5100001e-04,6.00000e-01,4.00000e-02
-6.5080001e-04,2.00000e-01,0.00000e+00
-6.5060001e-04,6.00000e-01,4.00000e-02
-6.5040000e-04,2.00000e-01,0.00000e+00
-6.5020000e-04,6.00000e-01,4.00000e-02
-6.5000000e-04,2.00000e-01,0.00000e+00
-6.4980000e-04,6.00000e-01,4.00000e-02
-6.4960000e-04,2.00000e-01,0.00000e+00
-6.4940000e-04,6.00000e-01,4.00000e-02
-6.4920000e-04,2.00000e-01,0.00000e+00
-6.4899999e-04,6.00000e-01,4.00000e-02
-6.4879999e-04,2.00000e-01,0.00000e+00
-6.4859999e-04,6.00000e-01,4.00000e-02
-6.4839999e-04,2.00000e-01,0.00000e+00
-6.4819999e-04,6.00000e-01,4.00000e-02
-6.4799999e-04,2.00000e-01,0.00000e+00
-6.4779999e-04,6.00000e-01,4.00000e-02
-6.4759998e-04,2.00000e-01,0.00000e+00
-6.4739998e-04,6.00000e-01,4.00000e-02
-6.4719998e-04,2.00000e-01,0.00000e+00
-6.4699998e-04,6.00000e-01,4.00000e-02
-6.4679998e-04,2.00000e-01,0.00000e+00
-6.4659998e-04,6.00000e-01,4.00000e-02
-6.4639997e-04,2.00000e-01,0.00000e+00
-6.4619997e-04,6.00000e-01,4.00000e-02
-6.4599997e-04,2.00000e-01,0.00000e+00
-6.4579997e-04,6.00000e-01,4.00000e-02
-6.4559997e-04,2.00000e-01,0.00000e+00
-6.4539997e-04,6.00000e-01,4.00000e-02
-6.4519997e-04,2.00000e-01,0.00000e+00
-6.4499996e-04,6.00000e-01,4.00000e-02
-6.4479996e-04,2.00000e-01,0.00000e+00
-6.4459996e-04,6.00000e-01,4.00000e-02
-6.4439996e-04,2.00000e-01,0.00000e+00
-6.4419996e-04,6.00000e-01,6.00000e-02
-6.4399996e-04,2.00000e-01,0.00000e+00
-6.4379995e-04,6.00000e-01,4.00000e-02
-6.4360001e-04,2.00000e-01,0.00000e+00
-6.4340001e-04,6.00000e-01,6.00000e-02
-6.4320001e-04,2.00000e-01,0.00000e+00
-6.4300001e-04,6.00000e-01,4.00000e-02
-6.4280001e-04,2.00000e-01,2.00000e-02
