X,CH1,CH2
Second,Volt,Volt
-1.4704000e-03,3.12000e-01,6.40000e-03
-1.4700000e-03,3.12000e-01,6.40000e-03
-1.4696000e-03,3.12000e-01,6.40000e-03
-1.4692000e-03,3.12000e-01,6.40000e-03
-1.4688000e-03,3.12000e-01,6.40000e-03
-1.4684000e-03,3.12000e-01,6.40000e-03
-1.4680000e-03,3.12000e-01,6.40000e-03
-1.4676000e-03,3.12000e-01,6.40000e-03
-1.4672000e-03,3.12000e-01,6.40000e-03
-1.4668000e-03,3.12000e-01,6.40000e-03
-1.4664000e-03,3.12000e-01,6.40000e-03
-1.4660000e-03,3.12000e-01,6.40000e-03
-1.4656000e-03,3.12000e-01,6.40000e-03
-1.4652000e-03,3.12000e-01,6.40000e-03
-1.4648000e-03,3.12000e-01,6.40000e-03
-1.4644000e-03,3.12000e-01,6.40000e-03
-1.4640000e-03,3.12000e-01,6.40000e-03
-1.4636000e-03,3.12000e-01,6.40000e-03
-1.4632000e-03,3.12000e-01,6.40000e-03
-1.4628000e-03,3.12000e-01,6.40000e-03
-1.4624001e-03,3.12000e-01,6.40000e-03
-1.4620001e-03,3.12000e-01,6.40000e-03
-1.4616001e-03,2.88000e-01,-2.48000e-02
-1.4612001e-03,3.12000e-01,1.36000e-02
-1.4608001e-03,2.88000e-01,-1.76000e-02
-1.4604001e-03,3.12000e-01,4.00000e-03
-1.4600001e-03,2.88000e-01,-1.44000e-02
-1.4596001e-03,3.04000e-01,1.12000e-02
-1.4592001e-03,2.80000e-01,-2.24000e-02
-1.4588000e-03,3.04000e-01,1.84000e-02
-1.4584000e-03,2.72000e-01,-2.80000e-02
-1.4580000e-03,2.96000e-01,1.52000e-02
-1.4576000e-03,2.72000e-01,-2.56000e-02
-1.4572000e-03,3.04000e-01,1.20000e-02
-1.4568000e-03,2.80000e-01,-1.68000e-02
-1.4564000e-03,3.12000e-01,5.60000e-03
-1.4560000e-03,2.96000e-01,-1.84000e-02
-1.4556000e-03,3.20000e-01,1.20000e-02
-1.4552000e-03,2.88000e-01,-2.24000e-02
-1.4548000e-03,3.12000e-01,1.20000e-02
-1.4544000e-03,2.88000e-01,-1.68000e-02
-1.4540000e-03,3.12000e-01,6.40000e-03
-1.4536000e-03,2.96000e-01,-1.68000e-02
-1.4532000e-03,3.20000e-01,4.00000e-03
-1.4528000e-03,2.96000e-01,-1.92000e-02
-1.4524000e-03,3.12000e-01,1.28000e-02
-1.4520000e-03,2.88000e-01,-2.32000e-02
-1.4516000e-03,3.04000e-01,1.36000e-02
-1.4512000e-03,2.88000e-01,-2.40000e-02
-1.4508000e-03,3.04000e-01,1.04000e-02
-1.4504000e-03,2.88000e-01,-2.24000e-02
-1.4500000e-03,3.04000e-01,1.68000e-02
-1.4496000e-03,2.88000e-01,-2.64000e-02
-1.4492000e-03,3.12000e-01,1.52000e-02
-1.4488000e-03,2.88000e-01,-2.08000e-02
-1.4484000e-03,3.20000e-01,8.80000e-03
-1.4480000e-03,2.96000e-01,-2.00000e-02
-1.4476000e-03,3.20000e-01,1.04000e-02
-1.4472001e-03,2.96000e-01,-2.16000e-02
-1.4468001e-03,3.20000e-01,1.12000e-02
-1.4464001e-03,3.04000e-01,-1.76000e-02
-1.4460001e-03,3.20000e-01,7.20000e-03
-1.4456001e-03,3.04000e-01,-1.92000e-02
-1.4452001e-03,3.28000e-01,7.20000e-03
-1.4448001e-03,2.96000e-01,-1.52000e-02
-1.4444001e-03,3.20000e-01,4.00000e-03
-1.4440001e-03,2.96000e-01,-1.84000e-02
-1.4436000e-03,3.20000e-01,7.20000e-03
-1.4432000e-03,2.88000e-01,-1.44000e-02
-1.4428000e-03,3.04000e-01,1.60000e-03
-1.4424000e-03,2.80000e-01,-1.68000e-02
-1.4420000e-03,3.04000e-01,6.40000e-03
-1.4416000e-03,2.72000e-01,-1.84000e-02
-1.4412000e-03,2.96000e-01,8.80000e-03
-1.4408000e-03,2.64000e-01,-1.84000e-02
-1.4404000e-03,2.88000e-01,7.20000e-03
-1.4400000e-03,2.64000e-01,-1.76000e-02
-1.4396000e-03,2.88000e-01,5.60000e-03
-1.4392000e-03,2.56000e-01,-1.84000e-02
-1.4388000e-03,2.72000e-01,1.92000e-02
-1.4384000e-03,2.56000e-01,-3.12000e-02
-1.4380000e-03,2.72000e-01,1.68000e-02
-1.4376000e-03,2.56000e-01,-1.92000e-02
-1.4372000e-03,2.88000e-01,1.28000e-02
-1.4368000e-03,2.56000e-01,-2.80000e-02
-1.4364000e-03,2.96000e-01,1.76000e-02
-1.4360000e-03,2.72000e-01,-2.80000e-02
-1.4356000e-03,3.04000e-01,1.52000e-02
-1.4352000e-03,2.80000e-01,-2.24000e-02
-1.4348000e-03,3.20000e-01,1.28000e-02
-1.4344000e-03,2.96000e-01,-2.00000e-02
-1.4340000e-03,3.28000e-01,3.20000e-03
-1.4336000e-03,3.12000e-01,-1.68000e-02
-1.4332000e-03,3.28000e-01,6.40000e-03
-1.4328000e-03,3.12000e-01,-1.60000e-02
-1.4324000e-03,3.28000e-01,2.40000e-03
-1.4320001e-03,2.96000e-01,-1.84000e-02
-1.4316001e-03,3.20000e-01,8.00000e-03
-1.4312001e-03,2.88000e-01,-1.76000e-02
-1.4308001e-03,3.12000e-01,9.60000e-03
-1.4304001e-03,2.88000e-01,-2.00000e-02
-1.4300001e-03,3.04000e-01,8.00000e-03
-1.4296001e-03,2.88000e-01,-2.00000e-02
-1.4292001e-03,3.04000e-01,9.60000e-03
-1.4288001e-03,2.88000e-01,-1.20000e-02
-1.4284000e-03,3.04000e-01,3.20000e-03
-1.4280000e-03,2.88000e-01,-1.36000e-02
-1.4276000e-03,3.04000e-01,1.12000e-02
-1.4272000e-03,2.72000e-01,-2.32000e-02
-1.4268000e-03,2.96000e-01,1.44000e-02
-1.4264000e-03,2.72000e-01,-2.64000e-02
-1.4260000e-03,2.88000e-01,1.68000e-02
-1.4256000e-03,2.72000e-01,-2.48000e-02
-1.4252000e-03,3.04000e-01,3.20000e-03
-1.4248000e-03,2.80000e-01,-1.76000e-02
-1.4244000e-03,3.04000e-01,8.00000e-03
-1.4240000e-03,2.88000e-01,-1.84000e-02
-1.4236000e-03,3.04000e-01,8.80000e-03
-1.4232000e-03,2.88000e-01,-1.76000e-02
-1.4228000e-03,3.04000e-01,2.40000e-03
-1.4224000e-03,2.80000e-01,-1.44000e-02
-1.4220000e-03,3.04000e-01,4.80000e-03
-1.4216000e-03,2.72000e-01,-1.92000e-02
-1.4212000e-03,2.96000e-01,1.12000e-02
-1.4208000e-03,2.72000e-01,-2.16000e-02
-1.4204000e-03,2.88000e-01,9.60000e-03
-1.4200000e-03,2.72000e-01,-1.84000e-02
-1.4196000e-03,2.88000e-01,2.00000e-02
-1.4192000e-03,2.72000e-01,-3.12000e-02
-1.4188000e-03,2.88000e-01,1.28000e-02
-1.4184000e-03,2.72000e-01,-1.92000e-02
-1.4180000e-03,2.96000e-01,1.04000e-02
-1.4176000e-03,2.80000e-01,-2.08000e-02
-1.4172000e-03,3.04000e-01,7.20000e-03
-1.4168001e-03,2.80000e-01,-2.32000e-02
-1.4164001e-03,3.04000e-01,1.20000e-02
-1.4160001e-03,2.88000e-01,-1.84000e-02
-1.4156001e-03,3.04000e-01,1.12000e-02
-1.4152001e-03,2.88000e-01,-2.56000e-02
-1.4148001e-03,3.04000e-01,1.36000e-02
-1.4144001e-03,2.88000e-01,-2.00000e-02
-1.4140001e-03,3.12000e-01,1.60000e-02
-1.4136001e-03,2.88000e-01,-2.72000e-02
-1.4132001e-03,3.12000e-01,1.68000e-02
-1.4128000e-03,2.88000e-01,-2.32000e-02
-1.4124000e-03,3.20000e-01,6.40000e-03
-1.4120000e-03,2.96000e-01,-2.24000e-02
-1.4116000e-03,3.20000e-01,1.20000e-02
-1.4112000e-03,2.96000e-01,-1.68000e-02
-1.4108000e-03,3.20000e-01,1.60000e-03
-1.4104000e-03,2.96000e-01,-1.28000e-02
-1.4100000e-03,3.20000e-01,3.20000e-03
-1.4096000e-03,2.88000e-01,-1.36000e-02
-1.4092000e-03,3.12000e-01,3.20000e-03
-1.4088000e-03,2.80000e-01,-1.84000e-02
-1.4084000e-03,3.04000e-01,7.20000e-03
-1.4080000e-03,2.72000e-01,-1.52000e-02
-1.4076000e-03,2.96000e-01,6.40000e-03
-1.4072000e-03,2.64000e-01,-1.68000e-02
-1.4068000e-03,2.88000e-01,4.80000e-03
-1.4064000e-03,2.56000e-01,-1.52000e-02
-1.4060000e-03,2.72000e-01,4.80000e-03
-1.4056000e-03,2.56000e-01,-2.56000e-02
-1.4052000e-03,2.72000e-01,1.60000e-02
-1.4048000e-03,2.48000e-01,-2.80000e-02
-1.4044000e-03,2.72000e-01,1.52000e-02
-1.4040000e-03,2.56000e-01,-2.64000e-02
-1.4036000e-03,2.88000e-01,8.00000e-03
-1.4032000e-03,2.64000e-01,-1.36000e-02
-1.4028000e-03,2.96000e-01,1.44000e-02
-1.4024000e-03,2.80000e-01,-2.80000e-02
-1.4020000e-03,2.96000e-01,2.00000e-02
-1.4016000e-03,2.80000e-01,-3.04000e-02
-1.4012001e-03,3.12000e-01,2.00000e-02
-1.4008001e-03,2.88000e-01,-2.64000e-02
-1.4004001e-03,3.28000e-01,1.68000e-02
-1.4000001e-03,3.04000e-01,-2.08000e-02
-1.3996001e-03,3.36000e-01,8.00000e-04
-1.3992001e-03,3.20000e-01,-1.20000e-02
-1.3988001e-03,3.44000e-01,7.20000e-03
-1.3984001e-03,3.20000e-01,-1.84000e-02
-1.3980001e-03,3.36000e-01,4.00000e-03
-1.3976000e-03,3.04000e-01,-1.60000e-02
-1.3972000e-03,3.28000e-01,4.80000e-03
-1.3968000e-03,2.96000e-01,-1.12000e-02
-1.3964000e-03,3.20000e-01,1.60000e-03
-1.3960000e-03,2.88000e-01,-1.76000e-02
-1.3956000e-03,3.04000e-01,6.40000e-03
-1.3952000e-03,2.72000e-01,-1.52000e-02
-1.3948000e-03,2.96000e-01,6.40000e-03
-1.3944000e-03,2.64000e-01,-2.00000e-02
-1.3940000e-03,2.88000e-01,1.36000e-02
-1.3936000e-03,2.56000e-01,-2.48000e-02
-1.3932000e-03,2.72000e-01,9.60000e-03
-1.3928000e-03,2.56000e-01,-2.00000e-02
-1.3924000e-03,2.72000e-01,1.36000e-02
-1.3920000e-03,2.56000e-01,-3.44000e-02
-1.3916000e-03,2.80000e-01,2.56000e-02
-1.3912000e-03,2.56000e-01,-3.60000e-02
-1.3908000e-03,2.96000e-01,1.20000e-02
-1.3904000e-03,2.72000e-01,-1.84000e-02
-1.3900000e-03,3.12000e-01,4.80000e-03
-1.3896000e-03,2.96000e-01,-1.76000e-02
-1.3892000e-03,3.20000e-01,6.40000e-03
-1.3888000e-03,2.96000e-01,-1.44000e-02
-1.3884000e-03,3.20000e-01,4.00000e-03
-1.3880000e-03,2.96000e-01,-1.36000e-02
-1.3876000e-03,3.12000e-01,4.00000e-03
-1.3872000e-03,2.88000e-01,-1.84000e-02
-1.3868000e-03,3.04000e-01,8.00000e-03
-1.3864000e-03,2.80000e-01,-2.16000e-02
-1.3860001e-03,2.96000e-01,1.20000e-02
-1.3856001e-03,2.72000e-01,-1.92000e-02
-1.3852001e-03,2.96000e-01,8.80000e-03
-1.3848001e-03,2.72000e-01,-1.84000e-02
-1.3844001e-03,2.88000e-01,8.80000e-03
-1.3840001e-03,2.72000e-01,-2.56000e-02
-1.3836001e-03,2.96000e-01,1.84000e-02
-1.3832001e-03,2.72000e-01,-2.80000e-02
-1.3828001e-03,3.04000e-01,1.76000e-02
-1.3824000e-03,2.80000e-01,-2.56000e-02
-1.3820000e-03,3.12000e-01,1.44000e-02
-1.3816000e-03,2.88000e-01,-2.08000e-02
-1.3812000e-03,3.28000e-01,7.20000e-03
