X,CH1,CH2
Second,Volt,Volt
-1.6305600e-03,6.00000e-01,8.00000e-02
-1.6301600e-03,6.00000e-01,8.00000e-02
-1.6297600e-03,6.00000e-01,8.00000e-02
-1.6293600e-03,6.00000e-01,8.00000e-02
-1.6289600e-03,6.00000e-01,8.00000e-02
-1.6285600e-03,6.00000e-01,8.00000e-02
-1.6281600e-03,6.00000e-01,8.00000e-02
-1.6277600e-03,6.00000e-01,8.00000e-02
-1.6273600e-03,6.00000e-01,8.00000e-02
-1.6269600e-03,6.00000e-01,8.00000e-02
-1.6265600e-03,6.00000e-01,8.00000e-02
-1.6261600e-03,6.00000e-01,8.00000e-02
-1.6257600e-03,6.00000e-01,8.00000e-02
-1.6253600e-03,6.00000e-01,8.00000e-02
-1.6249600e-03,6.00000e-01,8.00000e-02
-1.6245600e-03,0.00000e+00,-4.00000e-02
-1.6241600e-03,6.00000e-01,8.00000e-02
-1.6237600e-03,0.00000e+00,-4.00000e-02
-1.6233600e-03,6.00000e-01,8.00000e-02
-1.6229600e-03,0.00000e+00,-4.00000e-02
-1.6225601e-03,6.00000e-01,8.00000e-02
-1.6221601e-03,0.00000e+00,-4.00000e-02
-1.6217601e-03,6.00000e-01,8.00000e-02
-1.6213601e-03,0.00000e+00,-4.00000e-02
-1.6209601e-03,6.00000e-01,8.00000e-02
-1.6205601e-03,0.00000e+00,-4.00000e-02
-1.6201601e-03,6.00000e-01,8.00000e-02
-1.6197601e-03,0.00000e+00,-4.00000e-02
-1.6193601e-03,6.00000e-01,8.00000e-02
-1.6189601e-03,0.00000e+00,-4.00000e-02
-1.6185601e-03,6.00000e-01,8.00000e-02
-1.6181601e-03,2.00000e-01,-4.00000e-02
-1.6177600e-03,8.00000e-01,8.00000e-02
-1.6173600e-03,0.00000e+00,-4.00000e-02
-1.6169600e-03,6.00000e-01,8.00000e-02
-1.6165600e-03,0.00000e+00,-4.00000e-02
-1.6161600e-03,6.00000e-01,4.00000e-02
-1.6157600e-03,0.00000e+00,-4.00000e-02
-1.6153600e-03,6.00000e-01,8.00000e-02
-1.6149600e-03,0.00000e+00,-4.00000e-02
-1.6145600e-03,6.00000e-01,8.00000e-02
-1.6141600e-03,0.00000e+00,-4.00000e-02
-1.6137600e-03,6.00000e-01,8.00000e-02
-1.6133600e-03,0.00000e+00,-4.00000e-02
-1.6129600e-03,6.00000e-01,8.00000e-02
-1.6125600e-03,0.00000e+00,-8.00000e-02
-1.6121600e-03,6.00000e-01,8.00000e-02
-1.6117600e-03,0.00000e+00,-4.00000e-02
-1.6113600e-03,6.00000e-01,8.00000e-02
-1.6109600e-03,0.00000e+00,-4.00000e-02
-1.6105600e-03,6.00000e-01,8.00000e-02
-1.6101600e-03,0.00000e+00,-4.00000e-02
-1.6097600e-03,6.00000e-01,8.00000e-02
-1.6093600e-03,0.00000e+00,-4.00000e-02
-1.6089600e-03,6.00000e-01,8.00000e-02
-1.6085600e-03,0.00000e+00,-4.00000e-02
-1.6081600e-03,6.00000e-01,8.00000e-02
-1.6077600e-03,0.00000e+00,-4.00000e-02
-1.6073601e-03,6.00000e-01,8.00000e-02
-1.6069601e-03,0.00000e+00,-4.00000e-02
-1.6065601e-03,6.00000e-01,8.00000e-02
-1.6061601e-03,0.00000e+00,-4.00000e-02
-1.6057601e-03,6.00000e-01,8.00000e-02
-1.6053601e-03,2.00000e-01,-4.00000e-02
-1.6049601e-03,6.00000e-01,8.00000e-02
-1.6045601e-03,0.00000e+00,-4.00000e-02
-1.6041601e-03,6.00000e-01,8.00000e-02
-1.6037601e-03,0.00000e+00,-4.00000e-02
-1.6033601e-03,6.00000e-01,8.00000e-02
-1.6029601e-03,2.00000e-01,-4.00000e-02
-1.6025600e-03,8.00000e-01,8.00000e-02
-1.6021600e-03,2.00000e-01,-4.00000e-02
-1.6017600e-03,8.00000e-01,8.00000e-02
-1.6013600e-03,2.00000e-01,-4.00000e-02
-1.6009600e-03,8.00000e-01,8.00000e-02
-1.6005600e-03,0.00000e+00,-4.00000e-02
-1.6001600e-03,6.00000e-01,8.00000e-02
-1.5997600e-03,0.00000e+00,-4.00000e-02
-1.5993600e-03,8.00000e-01,8.00000e-02
-1.5989600e-03,0.00000e+00,-4.00000e-02
-1.5985600e-03,6.00000e-01,4.00000e-02
-1.5981600e-03,0.00000e+00,-4.00000e-02
-1.5977600e-03,6.00000e-01,8.00000e-02
-1.5973600e-03,0.00000e+00,-4.00000e-02
-1.5969600e-03,6.00000e-01,4.00000e-02
-1.5965600e-03,0.00000e+00,-4.00000e-02
-1.5961600e-03,6.00000e-01,8.00000e-02
-1.5957600e-03,0.00000e+00,-4.00000e-02
-1.5953600e-03,6.00000e-01,8.00000e-02
-1.5949600e-03,0.00000e+00,-4.00000e-02
-1.5945600e-03,8.00000e-01,8.00000e-02
-1.5941600e-03,2.00000e-01,-4.00000e-02
-1.5937600e-03,8.00000e-01,8.00000e-02
-1.5933600e-03,2.00000e-01,-4.00000e-02
-1.5929600e-03,6.00000e-01,8.00000e-02
-1.5925600e-03,2.00000e-01,-4.00000e-02
-1.5921601e-03,6.00000e-01,4.00000e-02
-1.5917601e-03,0.00000e+00,-4.00000e-02
-1.5913601e-03,6.00000e-01,8.00000e-02
-1.5909601e-03,0.00000e+00,-4.00000e-02
-1.5905601e-03,6.00000e-01,8.00000e-02
-1.5901601e-03,0.00000e+00,-4.00000e-02
-1.5897601e-03,6.00000e-01,8.00000e-02
-1.5893601e-03,0.00000e+00,-4.00000e-02
-1.5889601e-03,6.00000e-01,8.00000e-02
-1.5885601e-03,0.00000e+00,-8.00000e-02
-1.5881601e-03,6.00000e-01,8.00000e-02
-1.5877601e-03,0.00000e+00,-4.00000e-02
-1.5873600e-03,6.00000e-01,4.00000e-02
-1.5869600e-03,0.00000e+00,-4.00000e-02
-1.5865600e-03,6.00000e-01,8.00000e-02
-1.5861600e-03,2.00000e-01,-4.00000e-02
-1.5857600e-03,6.00000e-01,8.00000e-02
-1.5853600e-03,0.00000e+00,-4.00000e-02
-1.5849600e-03,6.00000e-01,8.00000e-02
-1.5845600e-03,0.00000e+00,-4.00000e-02
-1.5841600e-03,6.00000e-01,8.00000e-02
-1.5837600e-03,0.00000e+00,-4.00000e-02
-1.5833600e-03,6.00000e-01,8.00000e-02
-1.5829600e-03,0.00000e+00,-4.00000e-02
-1.5825600e-03,6.00000e-01,8.00000e-02
-1.5821600e-03,0.00000e+00,-4.00000e-02
-1.5817600e-03,6.00000e-01,8.00000e-02
-1.5813600e-03,0.00000e+00,-4.00000e-02
-1.5809600e-03,8.00000e-01,8.00000e-02
-1.5805600e-03,2.00000e-01,-4.00000e-02
-1.5801600e-03,8.00000e-01,8.00000e-02
-1.5797600e-03,2.00000e-01,-4.00000e-02
-1.5793600e-03,6.00000e-01,8.00000e-02
-1.5789600e-03,0.00000e+00,-4.00000e-02
-1.5785600e-03,6.00000e-01,8.00000e-02
-1.5781600e-03,0.00000e+00,-4.00000e-02
-1.5777600e-03,6.00000e-01,8.00000e-02
-1.5773600e-03,0.00000e+00,-4.00000e-02
-1.5769601e-03,6.00000e-01,8.00000e-02
-1.5765601e-03,0.00000e+00,-8.00000e-02
-1.5761601e-03,6.00000e-01,8.00000e-02
-1.5757601e-03,0.00000e+00,-4.00000e-02
-1.5753601e-03,8.00000e-01,8.00000e-02
-1.5749601e-03,2.00000e-01,-4.00000e-02
-1.5745601e-03,8.00000e-01,4.00000e-02
-1.5741601e-03,2.00000e-01,-4.00000e-02
-1.5737601e-03,8.00000e-01,8.00000e-02
-1.5733601e-03,0.00000e+00,-4.00000e-02
-1.5729601e-03,6.00000e-01,8.00000e-02
-1.5725601e-03,0.00000e+00,-8.00000e-02
-1.5721601e-03,6.00000e-01,1.20000e-01
-1.5717600e-03,0.00000e+00,-4.00000e-02
-1.5713600e-03,6.00000e-01,8.00000e-02
-1.5709600e-03,0.00000e+00,-4.00000e-02
-1.5705600e-03,6.00000e-01,8.00000e-02
-1.5701600e-03,2.00000e-01,-8.00000e-02
-1.5697600e-03,8.00000e-01,8.00000e-02
-1.5693600e-03,2.00000e-01,-4.00000e-02
-1.5689600e-03,8.00000e-01,8.00000e-02
-1.5685600e-03,2.00000e-01,-4.00000e-02
-1.5681600e-03,8.00000e-01,8.00000e-02
-1.5677600e-03,2.00000e-01,-4.00000e-02
-1.5673600e-03,6.00000e-01,8.00000e-02
-1.5669600e-03,2.00000e-01,-4.00000e-02
-1.5665600e-03,8.00000e-01,8.00000e-02
-1.5661600e-03,2.00000e-01,-4.00000e-02
-1.5657600e-03,8.00000e-01,8.00000e-02
-1.5653600e-03,0.00000e+00,-4.00000e-02
-1.5649600e-03,6.00000e-01,8.00000e-02
-1.5645600e-03,0.00000e+00,-4.00000e-02
-1.5641600e-03,6.00000e-01,8.00000e-02
-1.5637600e-03,0.00000e+00,-4.00000e-02
-1.5633600e-03,8.00000e-01,8.00000e-02
-1.5629600e-03,2.00000e-01,-4.00000e-02
-1.5625600e-03,8.00000e-01,4.00000e-02
-1.5621600e-03,0.00000e+00,-4.00000e-02
-1.5617600e-03,6.00000e-01,8.00000e-02
-1.5613601e-03,0.00000e+00,-4.00000e-02
-1.5609601e-03,6.00000e-01,8.00000e-02
-1.5605601e-03,0.00000e+00,-4.00000e-02
-1.5601601e-03,6.00000e-01,8.00000e-02
-1.5597601e-03,0.00000e+00,-4.00000e-02
-1.5593601e-03,6.00000e-01,8.00000e-02
