X,CH1
Second,Volt
-8.2740000e-05,2.00000e-01
-8.2730003e-05,2.00000e-01
-8.2719998e-05,2.00000e-01
-8.2710001e-05,2.00000e-01
-8.2699997e-05,2.00000e-01
-8.2690000e-05,2.00000e-01
-8.2680002e-05,2.00000e-01
-8.2669998e-05,2.00000e-01
-8.2660001e-05,2.00000e-01
-8.2649996e-05,2.00000e-01
-8.2639999e-05,2.00000e-01
-8.2630002e-05,2.00000e-01
-8.2619998e-05,2.00000e-01
-8.2610000e-05,2.00000e-01
-8.2600003e-05,2.00000e-01
-8.2589999e-05,2.00000e-01
-8.2580002e-05,2.00000e-01
-8.2569997e-05,2.00000e-01
-8.2560000e-05,2.00000e-01
-8.2550003e-05,2.00000e-01
-8.2539998e-05,2.00000e-01
-8.2530001e-05,2.00000e-01
-8.2519997e-05,2.00000e-01
-8.2510000e-05,2.00000e-01
-8.2500002e-05,2.00000e-01
-8.2489998e-05,2.00000e-01
-8.2480001e-05,2.00000e-01
-8.2469996e-05,2.00000e-01
-8.2459999e-05,2.00000e-01
-8.2450002e-05,2.00000e-01
-8.2439998e-05,2.00000e-01
-8.2430000e-05,2.00000e-01
-8.2420003e-05,2.00000e-01
-8.2409999e-05,2.00000e-01
-8.2400002e-05,2.00000e-01
-8.2389997e-05,2.00000e-01
-8.2380000e-05,0.00000e+00
-8.2370003e-05,2.00000e-01
-8.2359998e-05,-2.00000e-01
-8.2350001e-05,2.00000e-01
-8.2339997e-05,0.00000e+00
-8.2330000e-05,2.00000e-01
-8.2320003e-05,0.00000e+00
-8.2309998e-05,2.00000e-01
-8.2300001e-05,0.00000e+00
-8.2289996e-05,2.00000e-01
-8.2279999e-05,-2.00000e-01
-8.2270002e-05,2.00000e-01
-8.2259998e-05,0.00000e+00
-8.2250001e-05,2.00000e-01
-8.2240003e-05,0.00000e+00
-8.2229999e-05,2.00000e-01
-8.2220002e-05,-2.00000e-01
-8.2209997e-05,2.00000e-01
-8.2200000e-05,-2.00000e-01
-8.2190003e-05,2.00000e-01
-8.2179999e-05,0.00000e+00
-8.2170001e-05,2.00000e-01
-8.2159997e-05,-2.00000e-01
-8.2150000e-05,2.00000e-01
-8.2140003e-05,0.00000e+00
-8.2129998e-05,2.00000e-01
-8.2120001e-05,0.00000e+00
-8.2109997e-05,2.00000e-01
-8.2099999e-05,0.00000e+00
-8.2090002e-05,2.00000e-01
-8.2079998e-05,0.00000e+00
-8.2070001e-05,2.00000e-01
-8.2060003e-05,0.00000e+00
-8.2049999e-05,2.00000e-01
-8.2040002e-05,-2.00000e-01
-8.2029997e-05,2.00000e-01
-8.2020000e-05,0.00000e+00
-8.2010003e-05,2.00000e-01
-8.1999999e-05,0.00000e+00
-8.1990001e-05,2.00000e-01
-8.1979997e-05,-2.00000e-01
-8.1970000e-05,2.00000e-01
-8.1960003e-05,-2.00000e-01
-8.1949998e-05,2.00000e-01
-8.1940001e-05,-2.00000e-01
-8.1929997e-05,2.00000e-01
-8.1920000e-05,0.00000e+00
-8.1910002e-05,2.00000e-01
