X,CH1,
Second,Volt,
-3.0000001e-01,7.92000e-01,
-2.9996338e-01,7.04000e-01,
-2.9992676e-01,7.04000e-01,
-2.9989016e-01,7.92000e-01,
-2.9985353e-01,7.92000e-01,
-2.9981691e-01,7.04000e-01,
-2.9978028e-01,7.04000e-01,
-2.9974365e-01,7.92000e-01,
-2.9970706e-01,7.92000e-01,
-2.9967043e-01,7.04000e-01,
-2.9963380e-01,7.04000e-01,
-2.9959717e-01,7.92000e-01,
-2.9956055e-01,7.92000e-01,
-2.9952395e-01,7.04000e-01,
-2.9948732e-01,7.04000e-01,
-2.9945070e-01,7.92000e-01,
-2.9941407e-01,7.92000e-01,
-2.9937744e-01,7.04000e-01,
-2.9934084e-01,7.04000e-01,
-2.9930422e-01,7.92000e-01,
-2.9926759e-01,7.92000e-01,
-2.9923096e-01,7.04000e-01,
-2.9919434e-01,7.04000e-01,
-2.9915774e-01,7.92000e-01,
-2.9912111e-01,7.92000e-01,
-2.9908448e-01,7.04000e-01,
-2.9904786e-01,7.04000e-01,
-2.9901123e-01,7.92000e-01,
-2.9897463e-01,7.92000e-01,
-2.9893801e-01,8.80000e-02,
-2.9890138e-01,7.04000e-01,
-2.9886475e-01,8.80000e-02,
-2.9882813e-01,6.16000e-01,
-2.9879153e-01,8.80000e-02,
-2.9875490e-01,6.16000e-01,
-2.9871827e-01,8.80000e-02,
-2.9868165e-01,7.04000e-01,
-2.9864502e-01,8.80000e-02,
-2.9860842e-01,7.04000e-01,
-2.9857180e-01,8.80000e-02,
-2.9853517e-01,7.04000e-01,
-2.9849854e-01,8.80000e-02,
-2.9846191e-01,7.04000e-01,
-2.9842532e-01,8.80000e-02,
-2.9838869e-01,7.92000e-01,
-2.9835206e-01,8.80000e-02,
-2.9831544e-01,6.16000e-01,
-2.9827881e-01,8.80000e-02,
-2.9824221e-01,7.92000e-01,
-2.9820558e-01,8.80000e-02,
-2.9816896e-01,7.04000e-01,
-2.9813233e-01,8.80000e-02,
-2.9809570e-01,7.04000e-01,
-2.9805911e-01,8.80000e-02,
-2.9802248e-01,6.16000e-01,
-2.9798585e-01,8.80000e-02,
-2.9794922e-01,7.04000e-01,
-2.9791260e-01,1.76000e-01,
-2.9787600e-01,6.16000e-01,
-2.9783937e-01,8.80000e-02,
-2.9780275e-01,7.04000e-01,
-2.9776612e-01,8.80000e-02,
-2.9772949e-01,7.04000e-01,
-2.9769289e-01,8.80000e-02,
-2.9765627e-01,7.92000e-01,
-2.9761964e-01,8.80000e-02,
-2.9758301e-01,7.04000e-01,
-2.9754639e-01,8.80000e-02,
-2.9750979e-01,7.04000e-01,
-2.9747316e-01,8.80000e-02,
-2.9743654e-01,7.04000e-01,
-2.9739991e-01,8.80000e-02,
-2.9736328e-01,7.04000e-01,
-2.9732668e-01,8.80000e-02,
-2.9729006e-01,6.16000e-01,
-2.9725343e-01,8.80000e-02,
-2.9721680e-01,6.16000e-01,
-2.9718018e-01,8.80000e-02,
-2.9714358e-01,7.04000e-01,
-2.9710695e-01,1.76000e-01,
-2.9707032e-01,6.16000e-01,
-2.9703370e-01,1.76000e-01,
-2.9699707e-01,7.04000e-01,
-2.9696047e-01,8.80000e-02,
-2.9692385e-01,6.16000e-01,
-2.9688722e-01,8.80000e-02,
-2.9685059e-01,7.92000e-01,
-2.9681396e-01,8.80000e-02,
-2.9677737e-01,7.04000e-01,
-2.9674074e-01,8.80000e-02,
-2.9670411e-01,6.16000e-01,
-2.9666749e-01,8.80000e-02,
-2.9663086e-01,7.04000e-01,
-2.9659426e-01,8.80000e-02,
-2.9655764e-01,7.04000e-01,
-2.9652101e-01,8.80000e-02,
-2.9648438e-01,7.92000e-01,
-2.9644775e-01,8.80000e-02,
