X,CH1
Second,Volt
-1.6799990e-02,0.00000e+00
-1.6399991e-02,1.00800e+00
-1.5999991e-02,1.00800e+00
-1.5599992e-02,-1.68000e-01
-1.5199985e-02,0.00000e+00
-1.4799986e-02,1.00800e+00
-1.4399987e-02,1.00800e+00
-1.3999987e-02,-1.68000e-01
-1.3599988e-02,0.00000e+00
-1.3199989e-02,1.00800e+00
-1.2799989e-02,1.00800e+00
-1.2399990e-02,-1.68000e-01
-1.1999991e-02,1.00800e+00
-1.1599991e-02,-1.68000e-01
-1.1199992e-02,0.00000e+00
-1.0799985e-02,1.00800e+00
-1.0399986e-02,1.00800e+00
-9.9999867e-03,-1.68000e-01
-9.5999874e-03,1.00800e+00
-9.1999881e-03,-1.68000e-01
-8.7999888e-03,0.00000e+00
-8.3999895e-03,1.00800e+00
-7.9999901e-03,0.00000e+00
-7.5999908e-03,1.00800e+00
-7.1999915e-03,0.00000e+00
-6.7999922e-03,1.00800e+00
-6.3999929e-03,0.00000e+00
-5.9999861e-03,1.00800e+00
-5.5999868e-03,0.00000e+00
-5.1999874e-03,1.00800e+00
-4.7999881e-03,-1.68000e-01
-4.3999888e-03,1.00800e+00
-3.9999895e-03,0.00000e+00
-3.5999899e-03,1.00800e+00
-3.1999906e-03,0.00000e+00
-2.7999913e-03,1.00800e+00
-2.3999920e-03,1.00800e+00
-1.9999926e-03,-1.68000e-01
-1.5999933e-03,1.00800e+00
-1.1999866e-03,-1.68000e-01
-7.9998723e-04,0.00000e+00
-3.9998791e-04,1.00800e+00
1.1396408e-08,-1.68000e-01
4.0001073e-04,1.36080e+01
8.0001005e-04,1.00800e+00
1.2000094e-03,-1.68000e-01
1.6000087e-03,0.00000e+00
2.0000080e-03,1.00800e+00
2.4000073e-03,0.00000e+00
2.8000067e-03,1.00800e+00
3.2000134e-03,0.00000e+00
3.6000127e-03,1.00800e+00
4.0000118e-03,0.00000e+00
4.4000112e-03,1.00800e+00
4.8000105e-03,-1.68000e-01
5.2000098e-03,1.00800e+00
5.6000091e-03,0.00000e+00
6.0000084e-03,1.00800e+00
6.4000078e-03,1.00800e+00
6.8000071e-03,-1.68000e-01
7.2000064e-03,0.00000e+00
7.6000057e-03,1.00800e+00
8.0000125e-03,0.00000e+00
8.4000118e-03,1.00800e+00
8.8000111e-03,1.00800e+00
9.2000104e-03,-1.68000e-01
9.6000098e-03,-1.68000e-01
1.0000009e-02,1.34400e+00
1.0400008e-02,1.00800e+00
1.0800008e-02,-1.68000e-01
1.1200007e-02,1.00800e+00
1.1600006e-02,-1.68000e-01
1.2000006e-02,0.00000e+00
1.2400005e-02,1.00800e+00
1.2800012e-02,0.00000e+00
1.3200011e-02,1.00800e+00
1.3600010e-02,1.00800e+00
1.4000010e-02,-1.68000e-01
1.4400009e-02,0.00000e+00
1.4800008e-02,1.00800e+00
1.5200008e-02,-1.68000e-01
1.5600007e-02,1.00800e+00
1.6000006e-02,1.00800e+00
1.6400006e-02,-1.68000e-01
1.6800005e-02,1.00800e+00
1.7200012e-02,-1.68000e-01
1.7600011e-02,0.00000e+00
1.8000010e-02,1.00800e+00
1.8400010e-02,0.00000e+00
1.8800009e-02,1.00800e+00
1.9200008e-02,0.00000e+00
1.9600008e-02,1.00800e+00
2.0000007e-02,0.00000e+00
2.0400006e-02,1.12560e+01
2.0800006e-02,1.00800e+00
2.1200005e-02,-1.68000e-01
2.1600004e-02,0.00000e+00
2.2000011e-02,1.00800e+00
2.2400010e-02,-1.68000e-01
2.2800010e-02,1.00800e+00
2.3200009e-02,1.00800e+00
2.3600008e-02,-1.68000e-01
2.4000008e-02,-1.68000e-01
2.4400007e-02,1.00800e+00
2.4800006e-02,1.00800e+00
2.5200006e-02,-1.68000e-01
2.5600005e-02,0.00000e+00
2.6000004e-02,1.00800e+00
2.6400004e-02,1.00800e+00
2.6800010e-02,-1.68000e-01
2.7200010e-02,-1.68000e-01
2.7600009e-02,1.00800e+00
2.8000008e-02,-1.68000e-01
2.8400008e-02,1.00800e+00
2.8800007e-02,0.00000e+00
2.9200006e-02,1.00800e+00
2.9600006e-02,-1.68000e-01
3.0000005e-02,1.00800e+00
3.0400004e-02,1.00800e+00
3.0800004e-02,-1.68000e-01
3.1200010e-02,1.00800e+00
3.1600010e-02,-1.68000e-01
3.2000009e-02,1.00800e+00
3.2400008e-02,-1.68000e-01
3.2800008e-02,1.00800e+00
3.3200007e-02,-1.68000e-01
3.3600006e-02,0.00000e+00
3.4000006e-02,1.00800e+00
3.4400005e-02,0.00000e+00
3.4800004e-02,1.00800e+00
3.5200004e-02,1.00800e+00
3.5600003e-02,-1.68000e-01
3.6000010e-02,1.00800e+00
3.6400009e-02,-1.68000e-01
3.6800008e-02,-1.68000e-01
3.7200008e-02,1.00800e+00
3.7600007e-02,1.00800e+00
3.8000006e-02,-1.68000e-01
3.8400006e-02,1.00800e+00
3.8800005e-02,-1.68000e-01
3.9200004e-02,1.00800e+00
3.9600004e-02,-1.68000e-01
4.0000003e-02,0.00000e+00
4.0400010e-02,8.56800e+00
4.0800005e-02,0.00000e+00
4.1200005e-02,1.00800e+00
4.1600008e-02,1.00800e+00
4.2000007e-02,-1.68000e-01
4.2400006e-02,-1.68000e-01
4.2800006e-02,1.00800e+00
4.3200005e-02,1.00800e+00
4.3600004e-02,-1.68000e-01
4.4000007e-02,0.00000e+00
4.4400007e-02,1.00800e+00
4.4800006e-02,0.00000e+00
4.5200005e-02,1.00800e+00
4.5600004e-02,1.00800e+00
4.6000004e-02,-1.68000e-01
4.6400007e-02,1.00800e+00
4.6800006e-02,-1.68000e-01
4.7200006e-02,-1.68000e-01
4.7600005e-02,1.00800e+00
4.8000004e-02,-1.68000e-01
4.8400003e-02,1.00800e+00
4.8800007e-02,-1.68000e-01
4.9200006e-02,1.00800e+00
4.9600005e-02,-1.68000e-01
5.0000004e-02,1.68000e+00
5.0400004e-02,-1.68000e-01
5.0800003e-02,1.00800e+00
